JAMNYALA,KWHLWBP,KWHWBP,BLOK3,PEMKWH,RPLWBP,RPWBP,RPBLOK3,RPBEBAN,RPPTL,RPBPJU,RPPLN,RPTAG,RPTAG_MAT,RPREDUKSI,RPANGS,RPBK
128.88,30,28,0,58,5070.0,10080.0,0.0,4950.0,20100.0,0.0,20100.0,20100.0,20100.0,0.0,0,1
82.22,30,7,0,37,5070.0,2520.0,0.0,4950.0,12540.0,752.0,12540.0,13292.0,13292.0,0.0,0,1
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,0.0,4950.0,4950.0,4950.0,0.0,0,1
157.77,30,30,11,71,5070.0,10800.0,5445.0,4950.0,26265.0,0.0,26265.0,26265.0,26265.0,0.0,0,1
184.44,30,30,23,83,5070.0,10800.0,11385.0,4950.0,32205.0,0.0,32205.0,32205.0,32205.0,0.0,0,1
224.44,30,30,41,101,5070.0,10800.0,20295.0,4950.0,41115.0,2467.0,41115.0,43582.0,43582.0,0.0,0,1
24.44,11,0,0,11,1859.0,0.0,0.0,4950.0,6809.0,409.0,6809.0,7218.0,7218.0,0.0,0,1
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,0.0,4950.0,4950.0,4950.0,0.0,0,1
248.88,30,30,52,112,5070.0,10800.0,25740.0,4950.0,46560.0,0.0,46560.0,46560.0,46560.0,0.0,0,0
264.44,30,30,59,119,5070.0,10800.0,29205.0,4950.0,50025.0,0.0,50025.0,50025.0,50025.0,0.0,0,1
144.44,30,30,5,65,5070.0,10800.0,2475.0,4950.0,23295.0,1398.0,23295.0,24693.0,24693.0,0.0,0,1
284.44,30,30,68,128,5070.0,10800.0,33660.0,4950.0,54480.0,0.0,54480.0,54480.0,54480.0,0.0,0,0
208.88,30,30,34,94,5070.0,10800.0,16830.0,4950.0,37650.0,0.0,37650.0,37650.0,37650.0,0.0,0,1
40.0,18,0,0,18,3042.0,0.0,0.0,4950.0,7992.0,0.0,7992.0,7992.0,7992.0,0.0,0,1
246.66,30,30,51,111,5070.0,10800.0,25245.0,4950.0,46065.0,0.0,46065.0,46065.0,46065.0,0.0,0,1
386.66,30,30,114,174,5070.0,10800.0,56430.0,4950.0,77250.0,0.0,77250.0,77250.0,77250.0,0.0,0,1
115.55,30,22,0,52,5070.0,7920.0,0.0,4950.0,17940.0,0.0,17940.0,17940.0,17940.0,0.0,0,1
175.55,30,30,19,79,5070.0,10800.0,9405.0,4950.0,30225.0,1814.0,30225.0,32039.0,32039.0,0.0,0,1
197.77,30,30,29,89,5070.0,10800.0,14355.0,4950.0,35175.0,0.0,35175.0,35175.0,35175.0,0.0,0,1
37.77,17,0,0,17,2873.0,0.0,0.0,4950.0,7823.0,469.0,7823.0,8292.0,8292.0,0.0,0,1
151.11,30,30,8,68,5070.0,10800.0,3960.0,4950.0,24780.0,0.0,24780.0,24780.0,24780.0,0.0,0,1
224.44,30,30,41,101,5070.0,10800.0,20295.0,4950.0,41115.0,0.0,41115.0,41115.0,41115.0,0.0,0,1
60.0,27,0,0,27,4563.0,0.0,0.0,4950.0,9513.0,0.0,9513.0,224923.0,224923.0,0.0,1,0
